id_code ,study_type,variable_x,nature_x,variable_y,nature_y,effect_type,plant_specie,total_sample_size,sample_size_control,mean_control,sd_control,sample_size_treatment,mean_treatment ,sd_treatment,test,parametric,distribution,statistic,value,df,p_value,coefficient_estimated,standard_error,where,notes,,,,,,
C0044,field ,insecticide_input,continuous ,bee_richness,continuous ,community,,96,NA,NA,NA,NA,NA,NA,generalized_linear_mixed_effect,no,poisson,NA,NA,NA,"0,0652","0,15","0,08",page_1637_table_2,,,,,,,page_1638_figure_3. pode ser que tenha informações úteis nesses gráficos 
C0044,field ,nitrogenio_input,continuous ,bee_richness,continuous ,community,,96,NA,NA,NA,NA,NA,NA,generalized_linear_mixed_effect,no,poisson,NA,NA,NA,"0,0381","-0,11","0,05",page_1637_table_2,,,,,,,
C0044,field ,herbicide_input,continuous ,bee_richness,continuous ,community,,96,NA,NA,NA,NA,NA,NA,generalized_linear_mixed_effect,no,poisson,,,,"0,01","0,06","0,9042",page_1637_table_2,,,,,,,
C0044,field ,insecticide_input,continuous ,bee_abundance,continuous ,community,,96,NA,NA,NA,NA,NA,NA,generalized_linear_mixed_effect,no,poisson,NA,NA,NA,"0,2356","0,19","0,16",page_1637_table_2,,,,,,,
C0044,field ,nitrogenio_input,continuous ,bee_abundance,continuous ,community,,96,NA,NA,NA,NA,NA,NA,generalized_linear_mixed_effect,no,poisson,NA,NA,NA,"0,0138","-0,26","0,11",page_1637_table_2,,,,,,,
C0044,field ,nitrogenio_input,continuous ,bee_abundance,continuous ,community,,96,NA,NA,NA,NA,NA,NA,generalized_linear_mixed_effect,no,poisson,NA,NA,NA,"0,06","0,13","0,6289",page_1637_table_2,,,,,,,
C0052,field,pesticide_application ,continuous ,bee_abundance,continuous ,community,,19,NA,NA,NA,NA,NA,NA,generalized_linear_mixed_model,no,normal,t,"-2,27",NA,"0,03",NA,NA,page_4_text,,,,,,,
C0052,field,pesticide_application ,continuous ,bee_richness,continuous ,community,,19,NA,NA,NA,NA,NA,NA,generalized_linear_mixed_model,no,normal,t,"-2,04",NA,"0,06",NA,NA,page_4_text,,,,,,,
C0056,field,pesticide_aplication ,categorical,bee_abundace,continuous ,community,,24,9,511,0,15,900,0,generalized_linear_mixed_model,no,negative_binomial,NA,NA,NA,NA,NA,NA,page_5_table_2,,,,,,,
C0056,field,pesticide_aplication ,categorical,bee_richness,continuous ,community,,24,9,NA,NA,15,NA,NA,generalized_linear_mixed_model,no,negative_binomial,z,"-2,51",NA,"0,01","-0,21","0,09",page_6_text,,,,,,,
C0063,field,pesticide_aplication ,categorical,bee_visitation,continuous ,pollination,Solanum lycopersicum var. cerasiforme,23,7,NA,NA,16,NA,NA,generalized_linear_model,no,normal,t,"0,84",NA,"0,42",NA,NA,page_797_table_3,,,,,,,
C0063,field,pesticide_aplication ,categorical,bee_visitation,continuous ,pollination,Solanum lycopersicum var. cerasiforme,22,6,NA,NA,16,NA,NA,generalized_linear_model,no,normal,t,"1,34",NA,"0,2",NA,NA,page_797_table_4,,,,,,,
C0063,field,pesticide_aplication ,categorical,bee_visitation,continuous ,pollination,Capsicum annuum L.,22,6,NA,NA,16,NA,NA,generalized_linear_model,no,normal,t,"1,73",NA,"0,1",NA,NA,page_797_table_5,,,,,,,
C0068,field,soil_nitrogen_input,continuous ,seed_number,continuous ,pollination,Malus pumila ,15,NA,NA,NA,NA,NA,NA,linear_regression,yes,normal,z,"3,68",NA,"0,004","25,14","6,84",page_5_table_1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_abundance,continuous ,community,,56,32,"163,45","34,52",30,"69,85","11,98",walds_chi_square,no,negative_binomial,chi_squared,"2,98","1,57","0,08",NA,NA,page_5_table1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_abundance,continuous ,community,,56,32,"48,73","11,98",30,"65,99","24,36",walds_chi_square,no,negative_binomial,chi_squared,"0,02","1,57","0,89",NA,NA,page_5_table1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_abundance,continuous ,community,,56,32,"27,61","2,03",30,"15,84","7,51",anova,yes,normal,F,"2,35","1,55","0,13",NA,NA,page_5_table1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_abundance,continuous ,community,,56,32,"7,14","1,24",30,"4,36","0,86",anova,yes,normal,F,"1,09","1,55","0,3",NA,NA,page_5_table1,,,,,,,
C0072,field,pesticide_application ,categorical,bee_abundance,continuous ,community,,56,32,"17,18","2,56",30,"19,17","3,2",anova,yes,normal,F,"1,25","1,55","0,27",NA,NA,page_5_table1,,,,,,,
