"id_code","study_type","nature_x","total_sample_size","sample_size_control","mean_control","sd_control","sample_size_treatment","mean_treatment","sd_treatment","effect_type","plant_specie","yi","vi","statistic","value"
"C0073","laboratory","categorical",30,15,71.72,56.25,15,20.78,45,"pollination",NA,-0.972998177276843,0.149112090883068,NA,NA
"C0073","laboratory","categorical",30,15,71.72,56.25,15,11.41,20.78,"pollination",NA,-1.3838366224173,0.165250063292389,NA,NA
"C0073","laboratory","categorical",30,15,71.72,56.25,15,14.37,20.47,"pollination",NA,-1.31826432904545,0.162297014020561,NA,NA
"C0074","laboratory","categorical",68,34,91.42,22.04,34,83.09,33.82,"community","",-0.288496158041086,0.0594355149500328,NA,NA
"C0074","laboratory","categorical",68,34,32.7,16.91,34,19.1,11.08,"community","",-0.940498909854886,0.0653274867605752,NA,NA
"C0074","laboratory","categorical",68,34,0.42,0.93,34,0.29,0.82,"community","",-0.146586322503637,0.0589815261025378,NA,NA
"C0091","laboratory","categorical",60,30,714.13,154.96,30,421.6,60.48,"community","",-2.45468725432152,0.116879079304404,NA,NA
"C0091","laboratory","categorical",60,30,714.13,154.96,30,407.2,54.94,"community","",-2.60580532690526,0.123251845014399,NA,NA
"C0091","laboratory","categorical",60,30,714.13,154.96,30,606.4,73.81,"community","",-0.876092976959918,0.0730628242023208,NA,NA
"C0091","laboratory","categorical",60,30,714.13,154.96,30,305.6,56.88,"community","",-3.45454516420999,0.166115685763055,NA,NA
"C0091","laboratory","categorical",60,30,679.2,98.71,30,56,4.2,"community","",-8.80455173024218,0.712667759754254,NA,NA
"C0091","laboratory","categorical",60,30,679.2,98.71,30,147.2,19.89,"community","",-7.37465794858551,0.519879832155295,NA,NA
"C0091","laboratory","categorical",60,30,679.2,98.71,30,292.8,24.53,"community","",-5.30270558739403,0.300989054554832,NA,NA
"C0091","laboratory","categorical",60,30,679.2,98.71,30,115.2,12.47,"community","",-7.91249682219361,0.588396716343533,NA,NA
"C0096","field","categorical",8,4,386.58,150.32,4,357.94,211.18,"pollination","Mangifera spp.",-0.135724689824817,0.501151324464253,NA,NA
"C0096","field","categorical",8,4,117.41,97.24,4,229.13,48.62,"pollination","Mangifera spp.",1.26234811755655,0.59959517311866,NA,NA
"C0096","field","categorical",8,4,7224.08,1846.16,4,5979.93,4595.32,"community","",-0.308612837917288,0.50595261773296,NA,NA
"C0096","field","categorical",8,4,496.86,252.92,4,377.58,71.76,"community","",-0.557339905971686,0.519414235674283,NA,NA
"C0098","field","categorical",12,5,6.43,2.68,7,5.21,1.96,"community","",-0.494725332834338,0.353055190979978,NA,NA
"C0098","field","categorical",12,5,1.66,0.8,7,0.39,0.21,"community","",-2.20499307748118,0.545440245846306,NA,NA
"C0098","field","categorical",12,5,0.91,0.4,7,0.38,0.24,"community","",-1.55778496877812,0.443969393230104,NA,NA
"C0141","laboratory","categorical",14,7,47.18,19.61,7,29.5,9.37,"community","",-1.0767493362025,0.327121040464733,NA,NA
"C0141","laboratory","categorical",14,7,47.18,19.61,7,36.57,7.06,"community","",-0.673808487598684,0.301929209927144,NA,NA
"C0141","laboratory","categorical",14,7,47.18,19.61,7,15.02,4.58,"community","",-2.11382583545236,0.445294987950923,NA,NA
"C0144","field","categorical",10,4,628.07,618.24,6,287.05,222.34,"pollination","Citrullus lanatus",-0.737503052333916,0.443862204276759,NA,NA
"C0144","field","categorical",10,4,3.98,0.84,6,3.59,1.49,"community","",-0.273894475831351,0.420417575861213,NA,NA
"C0144","field","categorical",10,4,30.85,33.18,6,24.16,16.09,"community","",-0.251924561843531,0.419839965909669,NA,NA
"C0151","laboratory","categorical",20,10,7.58,3.42,10,7.29,1.9,"pollination",NA,-0.100387966976403,0.200251943597841,NA,NA
"C0151","laboratory","categorical",20,10,7.58,3.42,10,10.26,2.56,"pollination",NA,0.849617697402525,0.218046255793489,NA,NA
"C0151","laboratory","categorical",20,10,7.58,3.42,10,7.78,2.41,"pollination",NA,0.0647403929561945,0.200104782962003,NA,NA
"C0151","laboratory","categorical",20,10,7.58,3.42,10,6.11,3.08,"pollination",NA,-0.432559487824576,0.204677692762676,NA,NA
"C0151","laboratory","categorical",20,10,7.58,3.42,10,1.73,1.21,"pollination",NA,-2.18393577140241,0.319239386340276,NA,NA
"C0151","laboratory","categorical",20,10,19.44,9.93,10,20.35,7.22,"community","",0.100382262321966,0.200251914964722,NA,NA
"C0151","laboratory","categorical",20,10,19.44,9.93,10,25.9,7.78,"community","",0.693541053775332,0.212024979831795,NA,NA
"C0151","laboratory","categorical",20,10,19.44,9.93,10,18.47,8.06,"community","",-0.102716943836882,0.20026376926378,NA,NA
"C0151","laboratory","categorical",20,10,19.44,9.93,10,10.55,6.88,"community","",-0.996634282433348,0.224831997323036,NA,NA
"C0151","laboratory","categorical",20,10,19.44,9.93,10,1.94,2.99,"community","",-2.28540475807271,0.330576872705535,NA,NA
"C0161","field","categorical",18,9,165,33,9,158,31,"community","",-0.208203889115946,0.22342635720675,NA,NA
"C0161","field","categorical",18,9,27,3,9,25,2,"community","",-0.747009367009378,0.237722860955549,NA,NA
"C0161","field","categorical",18,9,0.8,0.02,9,0.85,0.02,"community","",2.38063458701088,0.379650584357568,NA,NA
"C0177","field","categorical",36,18,17.11,9.42,18,15.46,13.45,"community","",-0.138942648595375,0.111379236938871,NA,NA
"C0177","field","categorical",36,18,6.18,6.96,18,5.97,9.55,"community","",-0.0245725881427075,0.111119497390112,NA,NA
"C0177","field","categorical",36,18,42.13,42.72,18,31.73,19.22,"community","",-0.306985364930098,0.112420000198351,NA,NA
"C0177","field","categorical",36,18,55.17,57.87,18,38.59,60.75,"community","",-0.27324771607394,0.112148115476939,NA,NA
"C0177","field","categorical",36,18,3.78,1.32,18,3.56,1.23,"community","",-0.168604854303337,0.111505938845759,NA,NA
"C0177","field","categorical",36,18,2.89,1.74,18,2.11,2.04,"community","",-0.402251083323057,0.11335841575048,NA,NA
"C0177","field","categorical",36,18,10.54,6.83,18,9.62,5.01,"community","",-0.150183701386831,0.111424377002253,NA,NA
"C0177","field","categorical",36,18,13.64,10.78,18,10.4,10.39,"community","",-0.299232230186445,0.112354721216422,NA,NA
"C0180","laboratory","categorical",147,73,1.75,1.88,74,1.72,1.89,"community","",-0.0158322885121095,0.0272129962401581,NA,NA
"C0180","laboratory","categorical",144,73,1.75,1.88,71,0.96,1.35,"community","",-0.479077200760289,0.0285800641385742,NA,NA
"C0189","laboratory","categorical",180,90,0.73,0.47,90,0.42,0.47,"pollination",NA,-0.656790800197908,0.0234204837645128,NA,NA
"C0189","laboratory","categorical",180,90,0.73,0.47,90,0.48,0.47,"pollination",NA,-0.529670000159603,0.023001528636303,NA,NA
"C0189","laboratory","categorical",180,90,0.49,0.47,90,0.3,0.47,"pollination",NA,-0.402549200121298,0.0226723496069953,NA,NA
"C0189","laboratory","categorical",180,90,0.49,0.47,90,0.39,0.47,"pollination",NA,-0.211868000063841,0.0223469112484751,NA,NA
"C0189","laboratory","categorical",180,90,0.32,0.47,90,0.07,0.19,"pollination",NA,-0.694467089999435,0.0235619014974786,NA,NA
"C0189","laboratory","categorical",180,90,0.67,0.47,90,0.59,0.57,"pollination",NA,-0.152493539251161,0.0222868174430926,NA,NA
"C0197","field ","categorical",18,8,2.9,1.98,10,3.5,2.53,"community","",0.2478132453159,0.226705872348722,NA,NA
"C0142","field","categorical",25,12,NA,NA,13,NA,NA,"community","",0.3,0.15,"F",0.62
"C0142","field","categorical",25,12,NA,NA,13,NA,NA,"community","",0,0.15,"F",0
