"","X","author","title","year","doi","filename","n_duplicates"
"1",1,"Franceschinelli E.V. and Morais J.M. and Bergamini L.L. and Assis I.M.D. and Rosa Paniago L.G.F. and Cardoso M.D.T. and Silva Neto C.D.M.E. and Marcelo V.G. and Brito P.V.D.A. and Carvalheiro L.G.","Experimental insecticide applications change tomato pollinator assemblages and do not increase fruit production",2023,"10.1016/j.agee.2022.108310","scopus.csv",1
"2",45,"Siviter and Harry; Pardee and Gabriella L.; Baert and Nicolas; McArt and Scott; Jha and Shalene; Muth and Felicity","Wild bees are exposed to low levels of pesticides in urban grasslands and community gardens",2023,"10.1016/j.scitotenv.2022.159839","scopus.csv",2
"3",3,"Buxton M.N. and Gaskett A.C. and Lord J.M. and Pattemore D.E.","A global review demonstrating the importance of nocturnal pollinators for crop plants",2022,"10.1111/1365-2664.14284","scopus.csv",1
"4",19,"Rondeau and Sabrina; Chan, D. Susan Willis; Pindar and Alana","Identifying wild bee visitors of major crops in North America with notes on potential threats from agricultural practices",2022,"10.3389/fsufs.2022.943237","scopus.csv",2
"5",29,"Steinhuebel and Linda; Wenzel and Arne; Hulamani and Prashant; Von Cramon-Taubadel and Stephan; Mason and Nicole M.","Effects of local farm management on wild bees through temporal and spatial spillovers: evidence from Southern India",2022,"10.1007/s10980-022-01507-8","scopus.csv",2
"6",6,"Wenzel and Arne; Grass and Ingo; Nolke and Nils; Pannure and Arati; Tscharntke and Teja","Wild bees benefit from low urbanization levels and suffer from pesticides in a tropical megacity",2022,"10.1016/j.agee.2022.108019","scopus.csv",2
"7",7,"Martmnez-Lspez V. and Ruiz C. and De la Rza P.","Migratory beekeeping and its influence on the prevalence and dispersal of pathogens to managed and wild bees",2022,"10.1016/j.ijppaw.2022.05.004","scopus.csv",1
"8",25,"Ward and Laura T.; Hladik and Michelle L.; Guzman and Aidee; Winsemius and Sara; Bautista and Ariana; Kremen and Claire; Mills and Nicholas J.","Pesticide exposure of wild bees and honey bees foraging from field border flowers in intensively managed agriculture areas",2022,"10.1016/j.scitotenv.2022.154697","scopus.csv",2
"9",9,"Rollin O. and Aguirre-Gutiirrez J. and Yasrebi-de Kom I.A.R. and Garratt M.P.D. and de Groot G.A. and Kleijn D. and Potts S.G. and Scheper J. and Carvalheiro L.G.","Effects of ozone air pollution on crop pollinators and pollination",2022,"10.1016/j.gloenvcha.2022.102529","scopus.csv",1
"10",10,"Christmann S.","Regard and protect ground-nesting pollinators as part of soil biodiversity",2022,"10.1002/eap.2564","scopus.csv",1
"11",11,"Sanchez D. and Hernandez F. and Sanchez P. and Gsmez E.","When friends become unfriendly: testing repellents against a stingless bee (Trigona corvina Cockerell) that damages medfly-monitoring traps",2022,"10.1007/s42690-021-00547-y","scopus.csv",2
"12",12,"Ellis R.","Capitalist Agriculture and the Global Bee Crisis",2022,"10.4324/9781003142294","scopus.csv",1
"13",13,"Rocha Almeida and Felipe Chagas; Magalhaes and Diego Martins; Favaris and Arodi Prado; Rodriguez and Jonathan; Xavier Azevedo and Kamila Emmanuella; Simoes Bento and Jose Mauricio; Alves and Denise Araujo","Side effects of a fungus-based biopesticide on stingless bee guarding behaviour",2022,"10.1016/j.chemosphere.2021.132147","scopus.csv",2
