author;title;year;doi
Franceschinelli E.V., Morais J.M., Bergamini L.L., Assis I.M.D., Rosa Paniago L.G.F., Cardoso M.D.T., Silva Neto C.D.M.E., Marcelo V.G., Brito P.V.D.A., Carvalheiro L.G.;Experimental insecticide applications change tomato pollinator assemblages and do not increase fruit production;2023;10.1016/j.agee.2022.108310
Siviter H., Pardee G.L., Baert N., McArt S., Jha S., Muth F.;Wild bees are exposed to low levels of pesticides in urban grasslands and community gardens;2023;10.1016/j.scitotenv.2022.159839
Buxton M.N., Gaskett A.C., Lord J.M., Pattemore D.E.;A global review demonstrating the importance of nocturnal pollinators for crop plants;2022;10.1111/1365-2664.14284
Rondeau S., Willis Chan D.S., Pindar A.;Identifying wild bee visitors of major crops in North America with notes on potential threats from agricultural practices;2022;10.3389/fsufs.2022.943237
Steinhübel L., Wenzel A., Hulamani P., von Cramon-Taubadel S., Mason N.M.;Effects of local farm management on wild bees through temporal and spatial spillovers: evidence from Southern India;2022;10.1007/s10980-022-01507-8
Wenzel A., Grass I., Nölke N., Pannure A., Tscharntke T.;Wild bees benefit from low urbanization levels and suffer from pesticides in a tropical megacity;2022;10.1016/j.agee.2022.108019
Martínez-López V., Ruiz C., De la Rúa P.;“Migratory beekeeping and its influence on the prevalence and dispersal of pathogens to managed and wild bees”;2022;10.1016/j.ijppaw.2022.05.004
Ward L.T., Hladik M.L., Guzman A., Winsemius S., Bautista A., Kremen C., Mills N.J.;Pesticide exposure of wild bees and honey bees foraging from field border flowers in intensively managed agriculture areas;2022;10.1016/j.scitotenv.2022.154697
Rollin O., Aguirre-Gutiérrez J., Yasrebi-de Kom I.A.R., Garratt M.P.D., de Groot G.A., Kleijn D., Potts S.G., Scheper J., Carvalheiro L.G.;Effects of ozone air pollution on crop pollinators and pollination;2022;10.1016/j.gloenvcha.2022.102529
Christmann S.;Regard and protect ground-nesting pollinators as part of soil biodiversity;2022;10.1002/eap.2564
Sánchez D., Hernández F., Sánchez P., Gómez E.;When friends become unfriendly: testing repellents against a stingless bee (Trigona corvina Cockerell) that damages medfly-monitoring traps;2022;10.1007/s42690-021-00547-y
Ellis R.;Capitalist Agriculture and the Global Bee Crisis;2022;10.4324/9781003142294
Almeida F.C.R., Magalhães D.M., Favaris A.P., Rodríguez J., Azevedo K.E.X., Bento J.M.S., Alves D.A.;Side effects of a fungus-based biopesticide on stingless bee guarding behaviour;2022;10.1016/j.chemosphere.2021.132147
Peterson E.M., Green F.B., Subbiah S., Emert A., Smith P.N.;Agrochemical occurrence on colocated wildflowers and wild bees collected near beef cattle feed yards and row crops;2022;10.1002/ieam.4436
Pecenka J.R., Ingwell L.L., Foster R.E., Krupke C.H., Kaplan I.;IPM reduces insecticide applications by 95% while maintaining or enhancing crop yields through wild pollinator conservation;2021;10.1073/pnas.2108429118
Brigante J., Costa J.O., Espíndola E.L.G., Daam M.A.;Acute toxicity of the insecticide abamectin and the fungicide difenoconazole (individually and in mixture) to the tropical stingless bee Melipona scutellaris;2021;10.1007/s10646-021-02458-7
Wang Y., Zhu Y.-C., Li W., Yao J., Reddy G.V.P., Lv L.;Binary and ternary toxicological interactions of clothianidin and eight commonly used pesticides on honey bees (Apis mellifera);2021;10.1016/j.ecoenv.2021.112563
