"","author","title","year","doi"
"1","Narjes, Manuel Ernesto; Lippert, Christian","Regional differences in farmers' preferences for a native bee conservation policy: The case of farming communities in Northern and Eastern Thailand",2021,"10.1371/journal.pone.0251206"
"2","Fijen, Thijs P. M.; Read, Samantha F. J.; Walker, Melanie K.; Gee, Megan; Nelson, Warrick R.; Howlett, Brad G.","Different landscape features within a simplified agroecosystem support diverse pollinators and their service to crop plants",2022,"10.1007/s10980-022-01423-x"
"3","Chan, D. Susan Willis; Raine, Nigel E.","Hoary Squash Bees (Eucera pruinosa: Hymenoptera: Apidae) Provide Abundant and Reliable Pollination Services to Cucurbita Crops in Ontario (Canada)",2021,"10.1093/ee/nvab045"
"4","Leach, Ashley; Kaplan, Ian","Prioritizing pollinators over pests: wild bees are more important than beetle damage for watermelon yield",2022,"10.1098/rspb.2022.1279"
"5","Nicholson, Charlie C.; J.-M. Hayes, Jen; Connolly, Samantha; Ricketts, Taylor H.","Corridors through time: Does resource continuity impact pollinator communities, populations, and individuals?",2021,"10.1002/eap.2260"
"6","Gruenewald, Bernd","Is Pollination at Risk? Current Threats to and Conservation of Bees",2010,"10.14512/gaia.19.1.13"
"7","Main, Anson R.; Webb, Elisabeth B.; Goyne, Keith W.; Abney, Robert; Mengel, Doreen","Impacts of neonicotinoid seed treatments on the wild bee community in agricultural field margins",2021,"10.1016/j.scitotenv.2021.147299"
"8","Ikemoto, Mito; Yokoi, Tomoyuki","A test of new trapping methods for honey bees using odor attractants and a dry trap",2021,"10.1080/00218839.2021.1944569"
"9","Wenzel, Arne; Grass, Ingo; Nolke, Nils; Pannure, Arati; Tscharntke, Teja","Wild bees benefit from low urbanization levels and suffer from pesticides in a tropical megacity",2022,"10.1016/j.agee.2022.108019"
"10","Morandin, LA; Winston, ML","Wild bee abundance and seed production in conventional, organic, and genetically modified canola",2005,"10.1890/03-5271"
"11","Kratschmer, Sophie; Pachinger, Baerbel; Schwantzer, Martina; Paredes, Daniel; Guzman, Gema; Gomez, Jose A.; Entrenas, Jose A.; Guernion, Muriel; Burel, Francoise; Nicolai, Annegret; Fertil, Albin; Popescu, Daniela; Macavei, Laura; Hoble, Adela; Bunea, Claudiu; Kriechbaum, Monika; Zaller, Johann G.; Winter, Silvia","Response of wild bee diversity, abundance, and functional traits to vineyard inter-row management intensity and landscape diversity across Europe",2019,"10.1002/ece3.5039"
"12","Gaudreault, Emma S.; Naujokaititis-Lewis, Ilona; Lapen, David R.; Sargent, Risa D.","Effects of neonicotinoid seed treatments on wild bee populations in soybean and corn fields in eastern Ontario",2022,"10.1111/afe.12530"
"13","Cavigliasso, Pablo; Phifer, Colin C.; Knowlton, Jessie L.; Licata, Julian A.; Flaspohler, David J.; Webster, Christopher R.; Chacoff, Natacha P.","Influence of landscape composition on wild bee communities: Effects of functional landscape heterogeneity",2022,"10.1016/j.agee.2022.108150"
"14","Bloom, Elias H.; Wood, Thomas J.; Hung, Keng-Lou James; Ternest, John J.; Ingwell, Laura L.; Goodell, Karen; Kaplan, Ian; Szendrei, Zsofia","Synergism between local- and landscape-level pesticides reduces wild bee floral visitation in pollinator-dependent crops",2021,"10.1111/1365-2664.13871"
"15","Shi, Xiaoyu; Axmacher, Jan Christoph; Chong, Hainan; Xiao, Haijun; Luo, Shudong; Xu, Huanli; Li, Wenbo; Zou, Yi","Effects of farmland consolidation in southern China on wild bee species composition, nesting location and body size variations",2022,"10.1111/afe.12500"
"16","Durant, J. L.","Commoning the bloom? Rethinking bee forage management in industrial agriculture",2021,"10.1525/elementa.2020.00105"
"17","Broussard, Melissa A.; Howlett, Brad G.; Evans, Lisa J.; McBrydie, Heather; Cutting, Brian T.; Read, Samantha F. J.; Pattemore, David E.","Pollinator identity and behavior affect pollination in kiwifruit (Actinidia chinensis Planch.)",2022,"10.7717/peerj.12963"
"18","Obregon, Diana; Guerrero, Olger R.; Stashenko, Elena; Poveda, Katja","Natural habitat partially mitigates negative pesticide effects on tropical pollinator communities",2021,"10.1016/j.gecco.2021.e01668"
"19","Rondeau, Sabrina; Chan, D. Susan Willis; Pindar, Alana","Identifying wild bee visitors of major crops in North America with notes on potential threats from agricultural practices",2022,"10.3389/fsufs.2022.943237"
"20","Elzay, Sarah DePaolo; Baum, Kristen A.","Landscape characteristics predict body sizes in wild bees: implications for pollination services and foraging range",2021,"10.1007/s10841-021-00294-y"
"21","Griffiths-Lee, Janine; Davenport, Balin; Foster, Bradley; Nicholls, Elizabeth; Goulson, Dave","Sown wildflowers between vines increase beneficial insect abundance and richness in a British vineyard",2022,"10.1111/afe.12538"
"22","Foote, Gabriel G.; Runyon, Justin B.; Fettig, Christopher J.; Foote, Nathaniel E.; Ross, Darrell W.","Wild Bee Response to Application of the Douglas-fir Beetle Anti-Aggregation Pheromone, 3-Methylcyclohex-2-En-1-One",2021,"10.1093/jee/toab142"
"23","Casanelles-Abella, Joan; Keller, Alexander; Mueller, Stefanie; Aleixo, Cristiana; Alos-Orti, Marta; Chiron, Francois; Laanisto, Lauri; Myczko, Lukasz; Pinho, Pedro; Samson, Roeland; Tryjanowski, Piotr; Van Mensel, Anskje; Villarroya-Villalba, Lucia; Pellissier, Loic; Moretti, Marco","Wild bee larval food composition in five European cities",2022,"10.1002/ecy.3740"
"24","Yordanova, Monika; Evison, Sophie E. F.; Gill, Richard J.; Graystock, Peter","The threat of pesticide and disease co-exposure to managed and wild bee larvae",2022,"10.1016/j.ijppaw.2022.03.001"
"25","Ward, Laura T.; Hladik, Michelle L.; Guzman, Aidee; Winsemius, Sara; Bautista, Ariana; Kremen, Claire; Mills, Nicholas J.","Pesticide exposure of wild bees and honey bees foraging from field border flowers in intensively managed agriculture areas",2022,"10.1016/j.scitotenv.2022.154697"
"26","Piot, Niels; Eeraerts, Maxime; Pisman, Matti; Claus, Gregor; Meeus, Ivan; Smagghe, Guy","More is less: mass-flowering fruit tree crops dilute parasite transmission between bees",2021,"10.1016/j.ijpara.2021.02.002"
"27","Olson, Dawn M.; Gibbs, Jason; Schmidt, Jason M.","Wild bee pollinators foraging in peanut and cotton adjacent to native wildflower strips",2021,"10.1653/024.104.0304"
"28","HANSEN, RW; OSGOOD, EA","EFFECTS OF A SPLIT APPLICATION OF SEVIN-4-OIL ON POLLINATORS AND FRUIT-SET IN A SPRUCE FIR FOREST",1984,"10.4039/Ent116457-3"
"29","Steinhuebel, Linda; Wenzel, Arne; Hulamani, Prashant; Von Cramon-Taubadel, Stephan; Mason, Nicole M.","Effects of local farm management on wild bees through temporal and spatial spillovers: evidence from Southern India",2022,"10.1007/s10980-022-01507-8"
"30","von Koenigsloew, Vivien; Fornoff, Felix; Klein, Alexandra-Maria","Pollinator enhancement in agriculture: comparing sown flower strips, hedges and sown hedge herb layers in apple orchards",2022,"10.1007/s10531-021-02338-w"
"31","Benedek, P","Structure and density of Lucerne pollinating wild bee populations as affected by changing agriculture",1997,"10.17660/ActaHortic.1997.437.44"
"32","Durant, Jennie L.; Ponisio, Lauren C.","A Regional, Honey Bee-Centered Approach Is Needed to Incentivize Grower Adoption of Bee-Friendly Practices in the Almond Industry",2021,"10.3389/fsufs.2021.628802"
"33","Gruber, Bernd; Eckel, Katharina; Everaars, Jeroen; Dormann, Carsten F.","On managing the red mason bee (Osmia bicornis) in apple orchards",2011,"10.1007/s13592-011-0059-z"
"34","Klaus, Felix; Tscharntke, Teja; Bischoff, Gabriela; Grass, Ingo","Floral resource diversification promotes solitary bee reproduction and may offset insecticide effects - evidence from a semi-field experiment",2021,"10.1111/ele.13683"
"35","Niemuth, Neal D.; Wangler, Brian; LeBrun, Jaymi J.; Dewald, David; Larson, Scott; Schwagler, Todd; Bradbury, Curtis W.; Pritchert, Ronald D.; Iovanna, Rich","Conservation planning for pollinators in the US Great Plains: considerations of context, treatments, and scale",2021,"10.1002/ecs2.3556"
"36","Graham, Kelsey K.; Gibbs, Jason; Wilson, Julianna; May, Emily; Isaacs, Rufus","Resampling of wild bees across fifteen years reveals variable species declines and recoveries after extreme weather",2021,"10.1016/j.agee.2021.107470"
"37","Sanchez, D.; Hernandez, F.; Sanchez, P.; Gomez, E.","When friends become unfriendly: testing repellents against a stingless bee (Trigona corvina Cockerell) that damages medfly-monitoring traps",2022,"10.1007/s42690-021-00547-y"
