id_code,Country,Location,StudyType,Latitude,Longitude ,Precision
C0073,Brazil,Goias,Lethal and Sublethal,-16.606667,-49.259444,Precise 
C0073,Brazil,Goias,Lethal and Sublethal,-16.606667,-49.259444,Precise 
C0073,Brazil,Goias,Lethal and Sublethal,-16.606667,-49.259444,Precise 
C0074,United States,California,Lethal and Sublethal,36.7014631,-118.755997,Not Precise 
C0074,United States,California,Lethal and Sublethal,36.7014631,-118.755997,Not Precise 
C0074,United States,California,Lethal and Sublethal,36.7014631,-118.755997,Not Precise 
C0091,Brazil,Sao Paulo,Lethal and Sublethal,-21.978611,-47.881111,Precise 
C0091,Brazil,Sao Paulo,Lethal and Sublethal,-21.978611,-47.881111,Precise 
C0091,Brazil,Sao Paulo,Lethal and Sublethal,-21.978611,-47.881111,Precise 
C0091,Brazil,Sao Paulo,Lethal and Sublethal,-21.978611,-47.881111,Precise 
C0091,Brazil,Sao Paulo,Lethal and Sublethal,-21.978611,-47.881111,Precise 
C0091,Brazil,Sao Paulo,Lethal and Sublethal,-21.978611,-47.881111,Precise 
C0091,Brazil,Sao Paulo,Lethal and Sublethal,-21.978611,-47.881111,Precise 
C0091,Brazil,Sao Paulo,Lethal and Sublethal,-21.978611,-47.881111,Precise 
C0096,Mexico,Chiapas,Lethal and Sublethal,16.383862,-91.8649031,Not Precise 
C0096,Mexico,Chiapas,Lethal and Sublethal,16.383862,-91.8649031,Not Precise 
C0096,Mexico,Chiapas,Lethal and Sublethal,16.383862,-91.8649031,Not Precise 
C0096,Mexico,Chiapas,Lethal and Sublethal,16.383862,-91.8649031,Not Precise 
C0098,England,East Anglia,Lethal and Sublethal,52.3729017,-0.04493599,Not Precise 
C0098,England,East Anglia,Lethal and Sublethal,52.3729017,-0.04493599,Not Precise 
C0098,England,East Anglia,Lethal and Sublethal,52.3729017,-0.04493599,Not Precise 
C0141,Canada,Ontario ,Lethal and Sublethal,50.000678,-86.000977,Not Precise 
C0141,Canada,Ontario ,Lethal and Sublethal,50.000678,-86.000977,Not Precise 
C0141,Canada,Ontario ,Lethal and Sublethal,50.000678,-86.000977,Not Precise 
C0144,United States,California,Lethal and Sublethal,38.7184542,-121.9059001,Not Precise 
C0144,United States,California,Lethal and Sublethal,38.7184542,-121.9059001,Not Precise 
C0144,United States,California,Lethal and Sublethal,38.7184542,-121.9059001,Not Precise 
C0151,United States,Michigan ,Lethal and Sublethal,42.233889,-83.3830438,Not Precise 
C0151,United States,Michigan ,Lethal and Sublethal,42.233889,-83.3830438,Not Precise 
C0151,United States,Michigan ,Lethal and Sublethal,42.233889,-83.3830438,Not Precise 
C0151,United States,Michigan ,Lethal and Sublethal,42.233889,-83.3830438,Not Precise 
C0151,United States,Michigan ,Lethal and Sublethal,42.233889,-83.3830438,Not Precise 
C0151,United States,Michigan ,Lethal and Sublethal,42.233889,-83.3830438,Not Precise 
C0151,United States,Michigan ,Lethal and Sublethal,42.233889,-83.3830438,Not Precise 
C0151,United States,Michigan ,Lethal and Sublethal,42.233889,-83.3830438,Not Precise 
C0151,United States,Michigan ,Lethal and Sublethal,42.233889,-83.3830438,Not Precise 
C0151,United States,Michigan ,Lethal and Sublethal,42.233889,-83.3830438,Not Precise 
C0161,United States,Montana ,Lethal and Sublethal,48.179976,-110.111445,Not Precise 
C0161,United States,Montana ,Lethal and Sublethal,48.179976,-110.111445,Not Precise 
C0161,United States,Montana ,Lethal and Sublethal,48.179976,-110.111445,Not Precise 
C0177,Germany ,Lower Saxony,Lethal and Sublethal,52.8398531,9.075962,Not Precise 
C0177,Germany ,Thuringia,Lethal and Sublethal,50.9014721,11.0377839,Not Precise 
C0177,Germany ,Lower Saxony,Lethal and Sublethal,52.8398531,9.075962,Not Precise 
